name,id,group,level,type,text,next_group,ext
base_npc,2,_start,1,npc_line,"Howdy, partner!",,
base_npc,3,_start,1,player_line,Hey!,whatsup,
base_npc,4,_start,1,player_line,Back off!,angry,
base_npc,5,whatsup,2,npc_line,How's going?,,
base_npc,6,whatsup,2,player_line,Don't complain,bye,
base_npc,7,whatsup,2,player_line,Doing good. how are you?,smalltalk,
base_npc,8,whatsup,2,player_line,Not your buisness,angry,
base_npc,9,smalltalk,,npc_line,"I am fine, thank you!",,
base_npc,10,smalltalk,,player_line,Very well! bye!,_finish,
base_npc,11,smalltalk,,player_line,See you,_finish,
base_npc,12,angry,,npc_line,"Huh? You are rude, buddy!",,
base_npc,13,angry,,player_line,*leave*,_finish,
base_npc,14,bye,,npc_line,Take care of yourself! Bye ,,
base_npc,15,bye,,player_line,bye!,_finish,
base_npc,16,_finish,,,,,
